loan_id,loan_grade,loan_subgrade,grade_mismatch_flag,loan_purpose,loan_term_months,loan_amount,loan_amount_clean,loan_amount_flag,interest_rate,interest_rate_clean,interest_rate_flag,installment,issue_date,first_payment_date,date_sequence_flag,loan_status,total_payment,principal_received,interest_received,charged_off_amount,credit_score_clean,credit_score_flag,credit_score,dti,dti_clean,dti_flag,annual_income,employment_length,employment_length_clean,home_ownership,addr_state,state_name,state_flag
LN001341,E,E2,OK,medical,36,,,FLAGGED,22.56,22.56,OK,230.88,8/8/2022,9/6/2022,OK,Fully Paid,8178.62,6000,2178.62,0,745,OK,745,38.81,38.81,OK,116000,10+ years,10+ years,MORTGAGE,OK,Oklahoma,OK
LN000880,B,B3,OK,vacation,60,6600,6600,OK,10.15,10.15,OK,140.72,5/20/2022,6/18/2022,OK,Fully Paid,8536.16,6600,1936.16,0,685,OK,685,37.97,37.97,OK,86600,6 years,6 years,MORTGAGE,OK,Oklahoma,OK
LN000818,B,B4,OK,major_purchase,36,27700,27700,OK,9.61,9.61,OK,888.74,2/17/2021,3/18/2021,OK,Late (31-120 Days),3554.96,2488.47,1066.49,0,622,OK,622,42.82,42.82,OK,138700,8 years,8 years,MORTGAGE,OK,Oklahoma,OK
LN001602,B,B1,OK,moving,36,18000,18000,OK,11.92,11.92,OK,597.17,6/18/2021,7/18/2021,OK,Current,12540.57,8151.37,4389.2,0,797,OK,797,38.87,38.87,OK,151800,2 years,2 years,MORTGAGE,NY,New York,OK
LN001058,A,A3,OK,debt_consolidation,36,23100,23100,OK,5.46,5.46,OK,697.11,3/16/2022,4/20/2022,OK,Default,4182.66,2927.86,1254.8,0,820,OK,820,19.82,19.82,OK,151100,2 years,2 years,MORTGAGE,NY,New York,OK
LN002226,E,E4,OK,medical,36,24600,24600,OK,25.11,25.11,OK,979.52,5/25/2021,6/26/2021,OK,Current,22528.96,14643.82,7885.14,0,729,OK,729,12.36,12.36,OK,153200,7 years,7 years,MORTGAGE,VA,Virginia,OK
LN001787,G,G1,OK,credit_card,36,25000,25000,OK,-35.31,,NEGATIVE_RATE,1135.29,2/21/2023,3/27/2023,OK,Charged Off,9213.21,6449.25,2763.96,18550.75,762,OK,762,25.85,25.85,OK,106500,1 year,1 year,RENT,AZ,Arizona,OK
LN003171,F,F4,OK,major_purchase,36,10700,10700,OK,29.8,29.8,OK,453.06,2/1/2021,3/4/2021,OK,Current,6342.84,4122.85,2219.99,0,662,OK,662,20.75,20.75,OK,210000,10+ years,10+ years,MORTGAGE,NM,New Mexico,OK
LN000812,C,C2,OK,wedding,60,20000,20000,OK,14.58,14.58,OK,471.4,12/19/2021,1/20/2022,OK,Charged Off,3316.79,2321.75,995.04,17678.25,664,OK,664,42.08,42.08,OK,80400,2 years,2 years,MORTGAGE,NM,New Mexico,OK
LN000388,C,C2,OK,major_purchase,36,16400,16400,OK,13.36,13.36,OK,555.43,4/5/2022,5/7/2022,OK,Fully Paid,19894.88,16400,3494.88,0,589,OK,589,36.11,36.11,OK,62900,5 years,5 years,RENT,NM,New Mexico,OK
LN000212,G,G1,OK,wedding,36,7800,7800,OK,34.55,34.55,OK,350.86,5/8/2023,6/11/2023,OK,Fully Paid,12665.23,7800,4865.23,0,691,OK,691,31.5,31.5,OK,78500,2 years,2 years,RENT,MA,Massachusetts,OK
LN002697,B,B2,OK,renewable_energy,36,5800,5800,OK,8.71,8.71,OK,183.66,7/1/2022,7/30/2022,OK,Fully Paid,6541.64,5800,741.64,0,676,OK,676,22.26,22.26,OK,83800,5 years,5 years,RENT,MA,Massachusetts,OK
LN002457,C,C2,OK,renewable_energy,60,35700,35700,OK,13.43,13.43,OK,820.16,12/19/2023,1/21/2024,OK,Charged Off,18683.38,13078.37,5605.01,22621.63,757,OK,757,23.57,23.57,OK,59800,,MISSING,MORTGAGE,CA,California,OK
LN000928,F,F2,OK,moving,60,31000,31000,OK,28.76,28.76,OK,979.47,9/27/2022,10/25/2022,OK,Default,979.47,685.63,293.84,0,762,OK,762,35.18,35.18,OK,74000,9 years,9 years,RENT,CA,California,OK
LN002972,A,A2,OK,home_improvement,36,12900,12900,OK,5.9,5.9,OK,391.86,8/30/2021,9/28/2021,OK,Fully Paid,13830.84,12900,930.84,0,742,OK,742,28.67,28.67,OK,86800,1 year,1 year,RENT,ID,Idaho,OK
LN001466,E,E2,OK,home_improvement,36,5700,5700,OK,25.42,25.42,OK,227.9,2/7/2022,3/7/2022,OK,Fully Paid,8099.74,5700,2399.74,0,813,OK,813,28.51,28.51,OK,58700,,MISSING,MORTGAGE,TX,Texas,OK
