event_id,loan_id,payment_month,payment_date,payment_date_flag,amount_paid,amount_flag,payment_status
PE0018965,LN003065,37,1/15/2026,OK,502.81,OK,ON_TIME
PE0020012,LN002004,15,2/18/2023,OK,388.78,OK,ON_TIME
PE0002291,LN003234,24,4/19/2023,OK,755.88,OK,ON_TIME
PE0016444,LN000163,11,8/4/2022,OK,1277.14,OK,ON_TIME
PE0009967,LN002681,10,12/25/2023,OK,850.74,OK,ON_TIME
PE0005392,LN002775,13,5/10/2022,OK,707.96,OK,ON_TIME
PE0009404,LN002540,55,11/23/2026,OK,711.97,OK,ON_TIME
PE0015040,LN001333,33,1/8/2025,OK,1054.84,OK,ON_TIME
PE0002580,LN003119,49,11/3/2027,OK,505.39,OK,ON_TIME
PE0008471,LN000088,32,2/26/2025,OK,710.31,OK,ON_TIME
PE0015591,LN001110,1,2/19/2022,OK,1206.27,OK,ON_TIME
PE0016841,LN000096,21,11/14/2023,OK,860.12,OK,ON_TIME
PE0010611,LN000433,3,10/10/2021,OK,138.99,OK,MISSED
PE0010854,LN002005,5,8/5/2021,OK,575.25,OK,ON_TIME
PE0017392,LN001526,25,9/26/2024,OK,723.97,OK,ON_TIME
PE0022490,LN001930,25,7/2/2025,OK,1396.8,OK,ON_TIME
PE0015806,LN001198,10,4/25/2024,OK,1062.72,OK,ON_TIME
PE0008612,LN002606,29,8/21/2023,OK,210.46,OK,ON_TIME
PE0012442,LN001983,19,5/8/2024,OK,741.83,OK,ON_TIME
PE0013364,LN002846,41,10/1/2025,OK,594.89,OK,ON_TIME
PE0011808,LN002244,15,9/28/2022,OK,76.91,OK,ON_TIME
PE0004775,LN003041,22,10/16/2024,OK,734.11,OK,ON_TIME
PE0003097,LN000906,25,10/1/2024,OK,353.09,OK,ON_TIME
PE0018468,LN002259,20,12/19/2022,OK,1431.54,OK,ON_TIME
PE0017930,LN003409,15,12/13/2024,OK,622.67,OK,ON_TIME
PE0018255,LN000032,52,6/17/2027,OK,990.96,OK,ON_TIME
PE0000448,LN000686,50,6/16/2026,OK,454.86,OK,ON_TIME
PE0009454,LN001558,21,5/21/2024,OK,407.59,OK,ON_TIME
PE0017235,LN003267,2,9/8/2022,OK,355.13,OK,ON_TIME
PE0012750,LN000001,3,3/1/2023,OK,432.22,OK,ON_TIME
PE0022390,LN002090,35,8/24/2024,OK,647.57,OK,ON_TIME
PE0011629,LN001757,58,10/16/2026,OK,872.06,OK,ON_TIME
PE0015818,LN001198,22,4/20/2025,OK,1091.31,OK,ON_TIME
PE0011097,LN000500,20,1/10/2023,OK,922.4,OK,ON_TIME
PE0015470,LN002745,23,6/23/2023,OK,1062.75,OK,ON_TIME
PE0022718,LN001395,25,7/22/2025,OK,307.56,OK,ON_TIME
PE0021388,LN002749,6,7/6/2021,OK,733.52,OK,ON_TIME
PE0000636,LN000868,38,3/31/2025,OK,106.18,OK,ON_TIME
PE0020130,LN002517,4,5/3/2021,OK,710.95,OK,ON_TIME
PE0018584,LN000883,39,3/26/2024,OK,86.29,OK,ON_TIME
PE0018841,LN002320,58,1/26/2028,OK,781.83,OK,ON_TIME
PE0021932,LN002208,44,11/28/2025,OK,427.62,OK,ON_TIME
PE0012724,LN000632,13,8/22/2023,OK,999.95,OK,ON_TIME
PE0017068,LN002625,53,2/18/2027,OK,563.05,OK,ON_TIME
PE0022213,LN002781,2,1/20/2024,OK,730.17,OK,ON_TIME
PE0011104,LN000500,27,8/8/2023,OK,958.71,OK,ON_TIME
PE0019310,LN001483,3,6/27/2021,OK,134.35,OK,ON_TIME
PE0022829,LN001530,8,8/23/2024,OK,588.29,OK,ON_TIME
PE0004141,LN000997,35,12/26/2024,OK,278.88,OK,ON_TIME
PE0010993,LN000257,29,8/9/2023,OK,480.9,OK,ON_TIME
PE0002924,LN002599,51,6/12/2027,OK,185.49,OK,ON_TIME
PE0004646,LN002612,28,11/3/2025,OK,422.05,OK,ON_TIME
PE0016928,LN002930,19,4/25/2025,OK,205.07,OK,ON_TIME
PE0005188,LN001882,7,1/30/2023,OK,310.15,OK,LATE
PE0015612,LN001110,22,11/11/2023,OK,1202.02,OK,ON_TIME
PE0017593,LN001111,13,10/20/2023,OK,175.75,OK,ON_TIME
PE0016376,LN001503,35,4/21/2024,OK,578.6,OK,ON_TIME
PE0002085,LN002270,17,10/21/2022,OK,997.36,OK,ON_TIME
PE0019640,LN000528,9,5/4/2022,OK,778.05,OK,ON_TIME
PE0002572,LN003119,41,3/8/2027,OK,508.31,OK,LATE
PE0013111,LN002959,54,5/10/2026,OK,560.29,OK,ON_TIME
PE0014876,LN001024,4,4/25/2022,OK,546.86,OK,ON_TIME
PE0013481,LN001289,4,4/30/2022,OK,321.73,OK,ON_TIME
PE0022729,LN001395,36,6/17/2026,OK,293.32,OK,ON_TIME
PE0000964,LN003301,21,2/20/2023,OK,386.54,OK,ON_TIME
PE0018967,LN003065,39,3/16/2026,OK,479.37,OK,ON_TIME
PE0009422,LN002239,13,4/28/2022,OK,853.7,OK,ON_TIME
PE0007794,LN002670,48,10/8/2026,OK,381.65,OK,ON_TIME
PE0017747,LN001115,15,7/23/2022,OK,345.05,OK,ON_TIME
PE0005219,LN001882,38,8/17/2025,OK,298.41,OK,ON_TIME
PE0008674,LN002423,55,6/18/2026,OK,702.84,OK,ON_TIME
PE0008488,LN000039,13,8/25/2024,OK,69.43,OK,LATE
PE0018720,LN000595,16,5/3/2023,OK,1099.38,OK,ON_TIME
PE0016963,LN001748,18,9/1/2022,OK,309.95,OK,ON_TIME
PE0002120,LN000706,12,11/28/2022,OK,573.41,OK,ON_TIME
PE0012417,LN000652,34,12/13/2023,OK,205.84,OK,ON_TIME
PE0013619,LN002839,36,8/30/2026,OK,732.17,OK,ON_TIME
PE0023112,LN002628,15,3/10/2025,OK,741.14,OK,ON_TIME
PE0002773,LN003453,10,8/24/2024,OK,279.4,OK,ON_TIME
PE0010773,LN001484,49,1/3/2027,OK,32.79,OK,ON_TIME
PE0001430,LN002821,9,12/25/2023,OK,82.23,OK,ON_TIME
PE0000641,LN000868,43,8/28/2025,OK,109.79,OK,ON_TIME
PE0013089,LN002959,32,7/19/2024,OK,558.3,OK,ON_TIME
PE0005505,LN002318,1,12/30/2022,OK,761.22,OK,ON_TIME
PE0001581,LN002653,31,6/23/2024,OK,1134.72,OK,ON_TIME
PE0020579,LN002527,3,7/15/2022,OK,895.09,OK,ON_TIME
PE0002863,LN002478,10,6/11/2022,OK,188.32,OK,ON_TIME
PE0001053,LN001746,34,5/29/2026,OK,429.39,OK,ON_TIME
PE0021176,LN000796,9,2/9/2024,OK,395.33,OK,ON_TIME
PE0020541,LN003490,37,9/17/2025,OK,389.81,OK,ON_TIME
PE0017431,LN001418,4,8/2/2021,OK,574.99,OK,ON_TIME
PE0018655,LN002383,20,11/24/2024,OK,1319.72,OK,ON_TIME
PE0011192,LN003111,17,10/2/2024,OK,755.19,OK,ON_TIME
PE0012965,LN002708,21,6/17/2023,OK,279.8,OK,ON_TIME
PE0006424,LN000322,13,12/28/2024,OK,481.04,OK,ON_TIME
PE0017847,LN002132,4,8/26/2021,OK,292.87,OK,ON_TIME
PE0021087,LN000450,11,7/19/2023,OK,1172.74,OK,ON_TIME
PE0020312,LN001008,46,2/22/2025,OK,617.05,OK,ON_TIME
PE0017921,LN003409,6,3/18/2024,OK,642.79,OK,LATE
PE0019513,LN003149,20,3/31/2025,OK,181.5,OK,ON_TIME
PE0001881,LN001337,48,4/10/2026,OK,63.66,OK,ON_TIME
PE0007514,LN002181,9,12/21/2021,OK,1129.37,OK,ON_TIME
PE0014855,LN001675,43,8/18/2025,OK,71.48,OK,ON_TIME
PE0002852,LN001243,13,12/31/2022,OK,115.94,OK,ON_TIME
PE0001476,LN001404,21,2/7/2025,OK,1436.16,OK,LATE
PE0015085,LN000704,18,9/11/2022,OK,1302.2,OK,ON_TIME
PE0012643,LN001764,28,11/17/2023,OK,200.26,OK,ON_TIME
PE0014373,LN003417,16,1/30/2023,OK,833.63,OK,ON_TIME
PE0008452,LN000088,13,8/6/2023,OK,726.36,OK,ON_TIME
PE0019025,LN000434,33,8/1/2026,OK,377.95,OK,ON_TIME
PE0015629,LN001262,3,6/7/2021,OK,592.52,OK,ON_TIME
PE0015943,LN000497,11,2/12/2023,OK,367.38,OK,ON_TIME
PE0007758,LN002670,12,10/24/2023,OK,402.03,OK,ON_TIME
PE0012514,LN000816,12,9/8/2022,OK,882.03,OK,LATE
PE0002142,LN000706,34,9/18/2024,OK,547.91,OK,ON_TIME
PE0006378,LN001949,27,10/28/2025,OK,499.83,OK,ON_TIME
PE0015164,LN001752,13,1/20/2024,OK,451.48,OK,ON_TIME
PE0007091,LN003006,26,9/2/2025,OK,702.35,OK,ON_TIME
PE0017124,LN000079,15,1/10/2023,OK,295.17,OK,ON_TIME
PE0017698,LN002755,2,1/6/2024,OK,338.17,OK,ON_TIME
PE0018454,LN002259,6,10/25/2021,OK,1417.94,OK,LATE
PE0016124,LN000861,6,2/9/2024,OK,159.26,OK,ON_TIME
PE0010902,LN003240,2,4/18/2023,OK,1061.67,OK,ON_TIME
PE0004190,LN002248,21,3/15/2024,OK,858.63,OK,ON_TIME
PE0016997,LN001584,7,12/12/2021,OK,963.08,OK,ON_TIME
PE0004852,LN003112,10,9/9/2023,OK,542.67,OK,ON_TIME
PE0003442,LN003246,22,3/22/2025,OK,980.31,OK,ON_TIME
PE0013594,LN002839,11,8/10/2024,OK,682.14,OK,ON_TIME
PE0004679,LN001493,1,1/27/2024,OK,744.28,OK,ON_TIME
PE0006144,LN001268,57,3/14/2026,OK,426.42,OK,ON_TIME
PE0001193,LN002047,2,8/8/2022,OK,896.24,OK,ON_TIME
PE0004967,LN002473,34,12/3/2025,OK,475.31,OK,ON_TIME
