loan_id,loan_grade,loan_subgrade,loan_purpose,loan_term_months,loan_amount,interest_rate,installment,issue_date,first_payment_date,loan_status,total_payment,principal_received,interest_received,charged_off_amount,credit_score,dti,annual_income,employment_length,home_ownership,addr_state
LN001341,E,E2,medical,36,,22.56,230.88,2022-08-08,2022-09-06,Fully Paid,8178.62,6000.0,2178.62,0.0,745.0,38.81,116000,10+ years,MORTGAGE,OK
LN001602,B,B1,moving,36,18000.0,11.92,597.17,2021-06-18,2021-07-18,Current,12540.57,8151.37,4389.2,0.0,797.0,38.87,151800,2 years,MORTGAGE,NY
LN002226,E,E4,medical,36,24600.0,25.11,979.52,2021-05-25,2021-06-26,Current,22528.96,14643.82,7885.14,0.0,729.0,12.36,153200,7 years,MORTGAGE,VA
LN003171,F,F4,major_purchase,36,10700.0,29.8,453.06,2021-02-01,2021-03-04,Current,6342.84,4122.85,2219.99,0.0,662.0,20.75,210000,10+ years,MORTGAGE,NM
LN000212,G,G1,wedding,36,7800.0,34.55,350.86,2023-05-08,2023-06-11,Fully Paid,12665.23,7800.0,4865.23,0.0,691.0,31.5,78500,2 years,RENT,MA
LN002972,A,A2,home_improvement,36,12900.0,5.9,391.86,2021-08-30,2021-09-28,Fully Paid,13830.84,12900.0,930.84,0.0,742.0,28.67,86800,1 year,RENT,ID
LN001466,E,E2,home_improvement,36,5700.0,25.42,227.9,2022-02-07,2022-03-07,Fully Paid,8099.74,5700.0,2399.74,0.0,813.0,28.51,58700,,MORTGAGE,TX
LN000135,F,F1,educational,36,11600.0,29.74,490.79,2021-04-04,2021-05-09,Charged Off,2581.74,1807.22,774.52,9792.78,624.0,156.55,243300,3 years,RENT,WY
LN002678,E,E3,debt_consolidation,36,32900.0,25.89,1323.63,2023-11-09,2023-12-09,Fully Paid,48291.03,32900.0,15391.03,0.0,633.0,21.71,179800,4 years,OWN,DE
LN001743,B,B3,vacation,36,,10.6,97.65,2022-03-25,2022-04-29,Charged Off,198.2,138.74,59.46,2861.26,817.0,26.62,54800,< 1 year,RENT,SC
LN002317,C,C4,major_purchase,36,19400.0,15.65,678.7,2022-08-11,2022-09-14,Fully Paid,24759.09,19400.0,5359.09,0.0,659.0,8.57,130200,10+ years,RENT,MN
LN000027,B,B2,car,36,,11.88,149.21,2021-04-12,2021-05-14,Fully Paid,5373.58,4500.0,873.58,0.0,,44.25,244600,3 years,RENT,KY
LN000930,C,C4,car,36,25200.0,13.05,849.69,2021-04-09,2021-05-12,Fully Paid,30357.83,25200.0,5157.83,0.0,625.0,33.29,128200,5 years,RENT,MT
LN000033,B,B5,medical,60,20600.0,10.23,440.02,2022-08-10,2022-09-10,Fully Paid,26599.34,20600.0,5999.34,0.0,808.0,35.04,68600,,RENT,VT
LN000316,E,E3,moving,60,30400.0,23.63,868.03,2023-08-26,2023-09-30,Default,8680.3,6076.21,2604.09,0.0,703.0,35.8,164100,10+ years,OWN,NJ
LN002708,B,B4,home_improvement,60,13200.0,10.46,283.46,2021-09-25,2021-10-27,Fully Paid,17183.58,13200.0,3983.58,0.0,818.0,42.95,120000,5 years,RENT,KY
LN002888,E,E1,renewable_energy,60,36900.0,24.68,1076.15,2022-08-03,2022-09-05,Fully Paid,65817.74,36900.0,28917.74,0.0,783.0,27.54,219000,< 1 year,MORTGAGE,DE
LN001510,A,A5,small_business,60,9000.0,5.85,173.37,2022-02-23,2022-03-26,Current,8148.39,5296.45,2851.94,0.0,608.0,29.8,115900,6 years,RENT,ME
LN000271,D,D3,educational,36,5900.0,20.8,221.68,2023-06-13,2023-07-14,Fully Paid,7934.24,5900.0,2034.24,0.0,742.0,43.58,144500,6 years,RENT,CT
LN001966,E,E3,vacation,36,1900.0,24.59,75.13,2022-08-19,2022-09-20,Fully Paid,2714.73,1900.0,814.73,0.0,693.0,30.34,64300,3 years,OTHER,TX
LN000880,B,B3,vacation,60,6600.0,10.15,140.72,2022-05-20,2022-06-18,Fully Paid,8536.16,6600.0,1936.16,0.0,685.0,37.97,86600,6 years,MORTGAGE,OK
LN001925,C,G1,debt_consolidation,60,38600.0,16.19,942.58,2021-03-05,2021-04-04,Fully Paid,56134.93,38600.0,17534.93,0.0,700.0,41.18,145900,1 year,RENT,WA
LN001058,A,A3,debt_consolidation,36,23100.0,5.46,697.11,2022-03-16,2022-04-20,Default,4182.66,2927.86,1254.8,0.0,820.0,19.82,151100,2 years,MORTGAGE,NY
LN002378,C,C1,debt_consolidation,60,18200.0,12.77,411.97,2021-08-04,2021-09-03,Late (31-120 days),4531.67,3172.17,1359.5,0.0,771.0,24.16,198800,3 years,RENT,RI
LN001232,A,A3,credit_card,36,9100.0,7.94,284.91,2022-11-27,2022-12-30,Charged Off,1672.01,1170.41,501.6,7929.59,741.0,21.27,247200,6 years,RENT,OR
LN000440,D,D1,renewable_energy,36,36300.0,18.66,1324.38,2023-05-27,2023-06-24,Fully Paid,48159.96,36300.0,11859.96,0.0,758.0,42.84,247100,,RENT,UT
LN000416,G,G1,wedding,36,34600.0,35.06,1566.34,2021-01-27,2021-02-26,Late (31-120 days),18796.08,13157.26,5638.82,0.0,627.0,15.13,216200,,RENT,NJ
LN000671,F,F5,home_improvement,36,,28.84,1175.11,2022-04-30,2022-05-30,Current,14101.32,9165.86,4935.46,0.0,808.0,31.69,148500,7 years,RENT,CT
LN002844,B,B1,moving,36,,11.02,753.21,2021-12-29,2022-01-27,Fully Paid,26850.73,23000.0,3850.73,0.0,611.0,39.52,172400,3 years,MORTGAGE,OR
LN003020,B,B3,debt_consolidation,60,19300.0,8.62,397.09,2021-02-03,2021-03-03,Fully Paid,23516.76,19300.0,4216.76,0.0,697.0,44.76,130300,2 years,MORTGAGE,TN
LN000812,C,C2,wedding,60,20000.0,14.58,471.4,2021-12-19,2022-01-20,Charged Off,3316.79,2321.75,995.04,17678.25,664.0,42.08,80400,2 years,MORTGAGE,NM
LN002358,E,E5,medical,36,25000.0,25.27,997.57,2021-11-25,2021-12-23,Charged Off,11022.05,7715.43,3306.61,17284.57,803.0,18.24,174100,6 years,RENT,MD
LN000180,B,B3,debt_consolidation,60,6800.0,8.58,139.77,2022-05-26,2022-06-28,Current,6429.42,4179.12,2250.3,0.0,784.0,11.57,124900,5 years,MORTGAGE,MI
LN002763,F,F1,credit_card,60,26400.0,27.82,819.12,2022-06-23,2022-07-21,Charged Off,9509.69,6656.78,2852.91,19743.22,672.0,39.7,32200,1 year,RENT,WI
LN002989,B,B2,vacation,36,32900.0,9.01,1046.36,2021-10-08,2021-11-11,Charged Off,17809.07,12466.35,5342.72,20433.65,729.0,15.61,117600,,MORTGAGE,IL
LN002457,C,C2,renewable_energy,60,35700.0,13.43,820.16,2023-12-19,2024-01-21,Charged Off,18683.38,13078.37,5605.01,22621.63,757.0,23.57,59800,,MORTGAGE,CA
LN001227,A,A2,medical,36,5300.0,5.9,161.0,2023-04-06,2023-05-10,Fully Paid,5830.3,5300.0,530.3,0.0,601.0,42.37,234200,10+ years,MORTGAGE,PA
LN001000,B,B1,wedding,60,34600.0,8.72,713.55,2023-07-25,2023-08-26,Current,34963.95,22726.57,12237.38,0.0,702.0,13.11,134400,< 1 year,RENT,IL
LN000818,B,B4,major_purchase,36,27700.0,9.61,888.74,2021-02-17,2021-03-18,Late (31-120 days),3554.96,2488.47,1066.49,0.0,622.0,42.82,138700,8 years,MORTGAGE,OK
LN000928,F,F2,moving,60,31000.0,28.76,979.47,2022-09-27,2022-10-25,Default,979.47,685.63,293.84,0.0,762.0,35.18,74000,9 years,RENT,CA
LN002697,B,B2,renewable_energy,36,5800.0,8.71,183.66,2022-07-01,2022-07-30,Fully Paid,6541.64,5800.0,741.64,0.0,676.0,22.26,83800,5 years,RENT,MA
LN003034,A,A4,home_improvement,36,12100.0,5.56,365.7,2021-02-24,2021-03-30,Fully Paid,13036.38,12100.0,936.38,0.0,748.0,39.94,107800,1 year,RENT,GA
LN002956,E,E4,debt_consolidation,60,38000.0,25.64,1129.65,2021-09-02,2021-10-01,Default,13555.8,9489.06,4066.74,0.0,698.0,16.01,103000,1 year,MORTGAGE,MS
LN000121,A,A5,wedding,36,29200.0,5.39,880.27,2023-04-15,2023-05-14,Fully Paid,31560.63,29200.0,2360.63,0.0,763.0,33.75,240300,4 years,OWN,OR
LN001787,G,G1,credit_card,36,25000.0,-35.31,1135.29,2023-02-21,2023-03-27,Charged Off,9213.21,6449.25,2763.96,18550.75,762.0,25.85,106500,1 year,RENT,AZ
LN001404,D,D1,moving,36,37200.0,21.69,1414.73,2023-05-19,2023-06-16,Fully Paid,51736.31,37200.0,14536.31,0.0,706.0,20.43,42700,4 years,MORTGAGE,MS
LN000388,C,C2,major_purchase,36,16400.0,13.36,555.43,2022-04-05,2022-05-07,Fully Paid,19894.88,16400.0,3494.88,0.0,589.0,36.11,62900,5 years,RENT,NM
LN001511,C,C2,debt_consolidation,36,6400.0,15.45,223.27,2022-09-13,2022-10-12,Current,5135.21,3337.89,1797.32,0.0,799.0,14.15,85300,1 year,MORTGAGE,MO
LN002105,A,A4,home_improvement,36,3400.0,5.04,101.96,2023-07-16,2023-08-19,Fully Paid,3663.48,3400.0,263.48,0.0,613.0,14.63,40600,1 year,MORTGAGE,IA
LN002963,A,A3,home_improvement,36,21500.0,7.59,669.67,2023-11-04,2023-12-02,Fully Paid,24471.41,21500.0,2971.41,0.0,749.0,34.85,229800,4 years,RENT,WA
LN001958,B,B1,car,60,32700.0,10.4,701.23,2022-08-11,2022-09-11,Charged Off,13219.01,9253.31,3965.7,23446.69,749.0,27.81,136400,4 years,OWN,MO
LN000843,D,D3,car,36,,20.83,605.16,2022-12-12,2022-12-09,Charged Off,2387.64,1671.35,716.29,14428.65,,21.68,207900,3 years,MORTGAGE,RI
LN000185,A,A4,wedding,36,19300.0,7.86,603.55,2022-03-17,2022-04-21,Fully Paid,22001.76,19300.0,2701.76,0.0,723.0,25.22,227700,4 years,OWN,VA
LN000496,B,B1,major_purchase,36,30000.0,8.91,952.74,2023-01-13,2023-02-16,Current,30487.68,19816.99,10670.69,0.0,791.0,31.94,73500,2 years,RENT,LA
LN002212,D,D1,wedding,60,2200.0,21.82,60.54,2022-11-08,2022-12-10,Charged Off,309.76,216.83,92.93,1983.17,772.0,14.41,228000,6 years,MORTGAGE,OK
LN003202,E,E1,renewable_energy,36,38700.0,24.24,1523.19,2023-01-12,2023-02-12,Fully Paid,54463.13,38700.0,15763.13,0.0,725.0,42.4,49300,10+ years,OWN,CA
LN000927,C,C4,educational,60,7800.0,16.44,191.51,2022-04-28,2022-05-29,Current,4213.22,2738.59,1474.63,0.0,717.0,32.89,149700,3 years,MORTGAGE,NC
LN000462,A,A4,wedding,36,18500.0,5.52,558.79,2021-11-09,2021-12-11,Fully Paid,20369.56,18500.0,1869.56,0.0,636.0,10.15,83300,7 years,RENT,IN
LN000034,C,C1,moving,36,7200.0,14.33,247.23,2023-12-01,2024-01-05,Current,5686.29,3696.09,1990.2,0.0,773.0,40.66,231700,,MORTGAGE,NH
LN001794,D,D5,car,36,31800.0,17.31,1138.67,2023-10-18,2023-11-22,Late (31-120 days),3416.01,2391.21,1024.8,0.0,598.0,6.92,82900,8 years,RENT,IL
LN000290,D,D3,debt_consolidation,36,29400.0,17.71,1058.61,2021-10-30,2021-11-27,Fully Paid,38257.3,29400.0,8857.3,0.0,231.0,26.9,59800,3 years,MORTGAGE,WA
LN002590,A,A2,educational,36,32600.0,7.75,1017.81,2022-04-27,2022-05-27,Charged Off,11027.73,7719.41,3308.32,24880.59,722.0,23.97,121500,4 years,OWN,ID
LN001540,E,E1,home_improvement,60,3900.0,24.5,113.33,2023-01-17,2023-02-19,Current,3173.24,2062.61,1110.63,0.0,660.0,41.31,79800,10+ years,RENT,KS
LN000645,B,B5,credit_card,36,25700.0,9.53,823.61,2023-08-09,2023-09-09,Fully Paid,29805.54,25700.0,4105.54,0.0,680.0,13.7,149800,10+ years,MORTGAGE,NC
LN000094,C,C3,major_purchase,60,34000.0,15.76,822.48,2022-04-07,2022-05-08,Fully Paid,48867.09,34000.0,14867.09,0.0,624.0,29.1,55800,2 years,MORTGAGE,NY
LN000970,A,A2,small_business,36,28700.0,6.73,882.63,2023-09-29,2023-10-30,Current,6178.41,4015.97,2162.44,0.0,628.0,12.48,156600,8 years,RENT,MT
LN001555,B,B3,medical,36,10000.0,8.97,317.86,2021-06-01,2021-07-03,Current,2542.88,1652.87,890.01,0.0,602.0,42.99,116000,,RENT,AZ
LN001175,D,D4,renewable_energy,36,,18.12,517.84,2021-01-09,2021-02-09,Fully Paid,18734.09,14300.0,4434.09,0.0,804.0,32.02,234800,9 years,RENT,DE
LN002576,B,B3,home_improvement,60,,9.06,428.22,2022-02-24,2022-03-26,Current,2141.1,1391.71,749.38,0.0,806.0,11.56,115200,1 year,OWN,OR
LN003154,D,D1,major_purchase,36,18200.0,21.95,694.6,2021-10-22,2021-11-26,Fully Paid,25222.72,18200.0,7022.72,0.0,862.0,43.26,141200,1 year,MORTGAGE,AL
LN000804,D,D4,debt_consolidation,36,28700.0,20.02,1066.89,2023-12-29,2024-01-28,Fully Paid,38543.54,28700.0,9843.54,0.0,680.0,196.74,152800,9 years,OWN,WV
LN001475,A,A2,medical,36,2000.0,5.05,59.99,2022-07-23,2022-08-26,Fully Paid,2141.65,2000.0,141.65,0.0,762.0,44.76,210700,2 years,RENT,AL
LN000603,F,F1,debt_consolidation,60,38300.0,30.4,1248.56,2022-06-19,2022-07-24,Fully Paid,74661.35,38300.0,36361.35,0.0,681.0,43.82,177800,4 years,RENT,PA
LN001965,A,A4,car,36,28100.0,7.32,871.76,2023-01-07,2023-02-08,Current,8717.6,5666.44,3051.16,0.0,778.0,12.74,93600,2 years,MORTGAGE,TN
LN002729,D,D3,debt_consolidation,36,32000.0,19.43,1179.96,2023-11-10,2023-12-14,Charged Off,4439.38,3107.57,1331.81,28892.43,767.0,27.47,160200,8 years,RENT,NJ
LN001337,C,C1,vacation,60,2700.0,13.29,61.83,2022-05-01,2022-06-01,Fully Paid,3686.93,2700.0,986.93,0.0,761.0,11.17,185000,2 years,MORTGAGE,RI
LN000949,A,A1,car,36,1800.0,6.86,55.46,2023-11-24,2023-12-24,Current,1275.58,829.13,446.45,0.0,674.0,6.54,67500,7 years,RENT,AL
LN003177,B,B3,renewable_energy,36,27800.0,9.99,896.9,2023-10-02,2023-11-05,Charged Off,1976.34,1383.44,592.9,26416.56,600.0,29.04,114400,2 years,MORTGAGE,MA
LN000803,B,B2,debt_consolidation,36,7300.0,11.35,240.2,2022-10-05,2022-11-08,Current,2642.2,1717.43,924.77,0.0,789.0,34.62,135500,10+ years,RENT,NC
LN001766,A,A3,home_improvement,60,10800.0,-5.06,204.11,2022-09-03,2022-10-01,LATE (31-120 DAYS),816.44,571.51,244.93,0.0,696.0,38.21,125600,6 years,OWN,VT
LN000071,E,A4,major_purchase,36,10700.0,25.29,427.07,2021-08-19,2021-09-18,Current,2135.35,1387.98,747.37,0.0,659.0,36.54,38600,6 years,MORTGAGE,CO
LN000444,F,F4,wedding,36,35400.0,31.28,1527.71,2023-11-06,2023-12-05,Fully Paid,55842.28,35400.0,20442.28,0.0,602.0,8.21,98200,3 years,MORTGAGE,CT
LN002330,B,B2,renewable_energy,60,18000.0,11.57,396.5,2022-04-16,2022-05-17,Charged Off,8965.94,6276.16,2689.78,11723.84,651.0,27.16,38300,,OWN,AL
LN002454,A,A5,vacation,36,33800.0,7.38,1049.53,2021-02-15,2021-03-18,Fully Paid,37124.49,33800.0,3324.49,0.0,725.0,29.26,220800,,MORTGAGE,IN
LN001068,C,C2,debt_consolidation,60,9400.0,16.32,230.19,2022-08-23,2022-09-26,Fully Paid,14018.86,9400.0,4618.86,0.0,665.0,10.93,82400,,MORTGAGE,LA
LN002637,A,A4,wedding,60,36000.0,-7.24,716.93,2023-04-23,2023-05-27,LATE (31-120 DAYS),4301.58,3011.11,1290.47,0.0,703.0,17.94,97600,5 years,RENT,ID
LN002773,G,G4,moving,60,4400.0,34.08,153.58,2023-12-03,2024-01-06,Fully Paid,9183.2,4400.0,4783.2,0.0,815.0,8.14,117000,10+ years,RENT,VA
LN002335,B,B3,wedding,36,3700.0,10.98,121.1,2022-09-28,2022-10-30,Current,847.7,551.0,296.69,0.0,593.0,40.09,33600,2 years,OWN,AZ
LN002283,E,E5,educational,36,32200.0,24.75,1276.01,2023-06-13,2023-07-12,Fully Paid,46495.76,32200.0,14295.76,0.0,721.0,38.63,136800,4 years,RENT,LA
LN001415,F,F4,major_purchase,60,3400.0,27.5,104.84,2021-09-21,2021-10-19,Current,5137.16,3339.15,1798.01,0.0,679.0,35.39,190100,1 year,MORTGAGE,WY
LN000606,A,A2,wedding,36,34900.0,7.52,1085.93,2022-12-08,2023-01-05,Fully Paid,38455.95,34900.0,3555.95,0.0,762.0,41.68,187800,8 years,OTHER,CO
LN000292,C,C5,credit_card,36,4400.0,13.5,149.32,2023-04-24,2023-05-25,Current,5076.88,3299.97,1776.91,0.0,664.0,19.29,121000,1 year,MORTGAGE,IL
LN000565,B,B1,renewable_energy,36,12700.0,10.13,410.57,2023-07-19,2023-08-19,Fully Paid,14919.21,12700.0,2219.21,0.0,788.0,18.26,178900,2 years,RENT,AL
LN002568,C,C4,wedding,60,13600.0,15.03,323.76,2023-01-14,2023-02-11,Fully Paid,19560.37,13600.0,5960.37,0.0,620.0,11.4,36300,< 1 year,RENT,NC
LN000408,B,B1,educational,60,39300.0,9.56,826.53,2022-07-18,2022-08-19,Fully Paid,49538.56,39300.0,10238.56,0.0,623.0,27.91,144500,9 years,MORTGAGE,ME
LN001107,A,A2,medical,36,22200.0,5.33,668.65,2023-02-28,2023-03-31,Current,8692.45,5650.09,3042.36,0.0,648.0,33.55,242400,10+ years,MORTGAGE,PA
LN002385,E,E2,major_purchase,60,26700.0,26.2,802.57,2021-03-10,2021-04-07,Fully Paid,48861.77,26700.0,22161.77,0.0,740.0,24.36,175000,1 year,RENT,CA
LN000552,B,B2,medical,60,19500.0,8.63,401.3,2022-11-18,2022-12-23,Late (31-120 days),4815.6,3370.92,1444.68,0.0,735.0,13.36,105300,10+ years,MORTGAGE,DE
LN001237,B,B1,medical,60,15000.0,8.6,308.47,2021-03-16,2021-04-19,Fully Paid,18184.81,15000.0,3184.81,0.0,773.0,34.61,51700,9 years,RENT,KY
LN001573,D,D5,vacation,60,2200.0,20.71,59.16,2022-05-08,2022-06-10,Current,2543.88,1653.52,890.36,0.0,662.0,38.93,148900,6 years,RENT,DE
LN001996,E,E4,medical,36,12500.0,23.3,485.83,2021-12-15,2021-12-10,current,15060.73,9789.47,5271.26,0.0,665.0,41.5,229700,10+ years,RENT,MI
LN001427,B,B4,moving,36,12300.0,9.18,392.17,2022-11-27,2022-12-28,Charged Off,6526.57,4568.6,1957.97,7731.4,597.0,188.65,123100,9 years,OWN,RI
LN000197,B,B1,credit_card,36,16300.0,8.98,518.18,2022-08-26,2022-09-25,Current,6218.16,4041.8,2176.36,0.0,597.0,26.22,28400,6 years,RENT,MN
LN003263,C,C5,medical,60,16600.0,15.6,400.16,2022-08-08,2022-09-11,Current,14405.76,9363.74,5042.02,0.0,716.0,28.29,232100,4 years,RENT,WV
LN001054,C,C1,medical,36,,16.2,331.41,2022-05-17,2022-06-21,Fully Paid,12011.61,9400.0,2611.61,0.0,787.0,40.98,177400,10+ years,MORTGAGE,KY
LN000890,C,C5,educational,36,9300.0,15.53,324.81,2022-10-05,2022-11-03,Late (31-120 days),3897.72,2728.4,1169.32,0.0,734.0,19.34,154700,4 years,RENT,CO
LN002865,A,A4,educational,36,2600.0,6.85,80.1,2021-11-03,2021-12-01,Current,801.0,520.65,280.35,0.0,693.0,36.58,63900,7 years,RENT,IA
LN003200,D,D5,renewable_energy,36,7400.0,21.47,280.58,2023-07-27,2023-08-25,Default,1964.06,1374.84,589.22,0.0,686.0,31.49,137400,5 years,OTHER,NY
LN000412,D,D5,medical,36,37100.0,18.95,1359.0,2023-04-02,2023-05-04,Fully Paid,49648.62,37100.0,12548.62,0.0,583.0,16.55,208800,4 years,RENT,ND
LN000150,E,E4,car,36,34800.0,26.44,1410.28,2021-12-08,2022-01-07,Current,35257.0,22917.05,12339.95,0.0,610.0,12.14,245000,4 years,RENT,00
LN000938,B,B3,renewable_energy,60,28000.0,11.41,614.53,2023-09-27,2023-10-28,Late (31-120 days),3072.65,2150.86,921.79,0.0,808.0,134.35,247300,2 years,RENT,AR
LN002226,E,E4,medical,36,24600.0,-25.11,979.52,2021-05-25,2021-06-26,Current,22528.96,14643.82,7885.14,0.0,729.0,12.36,153200,7 years,MORTGAGE,VA
LN000315,B,B3,medical,60,10900.0,10.09,232.08,2023-05-04,2023-06-07,Charged Off,2110.34,1477.24,633.1,9422.76,684.0,25.25,54600,5 years,RENT,DE
LN002504,C,C5,credit_card,36,,13.69,108.89,2022-09-24,2022-10-29,Fully Paid,3880.54,3200.0,680.54,0.0,685.0,29.88,186100,1 year,RENT,NV
LN002270,D,D3,moving,60,,19.51,978.08,2021-05-29,2021-06-27,Current,42057.44,27337.34,14720.1,0.0,591.0,6.7,148900,,OWN,IA
LN001897,A,A3,educational,36,19800.0,6.83,609.83,2022-05-31,2022-07-04,Charged Off,4558.29,3190.8,1367.49,16609.2,806.0,44.06,138900,3 years,MORTGAGE,TN
LN001814,B,B1,educational,60,33700.0,9.07,700.7,2022-06-07,2022-07-11,Fully Paid,41468.4,33700.0,7768.4,0.0,688.0,22.29,206800,5 years,MORTGAGE,AL
LN001299,B,B4,wedding,60,1600.0,-10.75,34.59,2022-02-17,2022-03-23,Charged Off,909.76,636.83,272.93,963.17,812.0,37.97,49000,< 1 year,RENT,NH
LN002148,A,A4,educational,60,28700.0,6.55,562.22,2023-07-28,2023-08-28,Fully Paid,34191.07,28700.0,5491.07,0.0,744.0,21.06,150100,10+ years,MORTGAGE,OR
LN003425,G,G5,major_purchase,36,32800.0,32.78,1442.82,2021-11-14,2021-12-14,Fully Paid,52424.51,32800.0,19624.51,0.0,688.0,34.13,42000,4 years,MORTGAGE,SD
LN003223,C,C5,renewable_energy,60,13700.0,13.64,316.22,2023-01-11,2023-02-10,Fully Paid,19125.96,13700.0,5425.96,0.0,604.0,33.15,214900,4 years,RENT,OH
LN001799,D,D4,debt_consolidation,36,,19.39,571.23,2021-09-23,2021-10-24,Charged Off,7273.29,5091.3,2181.99,10408.7,665.0,24.71,71800,1 year,MORTGAGE,AZ
LN000300,C,C3,major_purchase,36,25600.0,16.05,900.65,2023-08-25,2023-09-22,Charged Off,3236.67,2265.67,971.0,23334.33,622.0,14.2,235700,7 years,RENT,ID
LN001109,F,F1,medical,36,20200.0,30.59,864.06,2022-10-19,2022-11-23,Late (31-120 days),8640.6,6048.42,2592.18,0.0,609.0,36.86,76900,10+ years,RENT,VT
LN001771,B,B4,wedding,36,22000.0,9.41,703.8,2021-08-15,2021-09-19,Charged Off,8223.03,5756.12,2466.91,16243.88,620.0,11.59,142900,8 years,MORTGAGE,AK
LN000806,C,C4,debt_consolidation,60,38200.0,14.07,890.23,2021-06-12,2021-07-15,Current,42731.04,27775.18,14955.86,0.0,607.0,23.09,35100,4 years,RENT,MS
LN002986,G,G3,credit_card,36,19900.0,35.59,906.85,2021-10-18,2021-11-16,Fully Paid,32198.69,19900.0,12298.69,0.0,699.0,8.22,204200,6 years,OWN,WI
LN000184,B,B2,moving,36,31500.0,8.98,1001.4,2021-04-18,2021-05-22,Charged Off,10006.56,7004.59,3001.97,24495.41,717.0,32.74,95900,6 years,OWN,FL
