event_id,loan_id,payment_month,payment_date,amount_paid,payment_status
PE0018965,LN003065,37,2026-01-15,502.81,ON_TIME
PE0020012,LN002004,15,2023-02-18,388.78,ON_TIME
PE0002291,LN003234,24,2023-04-19,755.88,ON_TIME
PE0016444,LN000163,11,2022-08-04,1277.14,ON_TIME
PE0009967,LN002681,10,2023-12-25,850.74,ON_TIME
PE0005392,LN002775,13,2022-05-10,707.96,ON_TIME
PE0009404,LN002540,55,2026-11-23,711.97,ON_TIME
PE0015040,LN001333,33,2025-01-08,1054.84,ON_TIME
PE0002580,LN003119,49,2027-11-03,505.39,ON_TIME
PE0008471,LN000088,32,2025-02-26,710.31,ON_TIME
PE0015591,LN001110,1,2022-02-19,1206.27,ON_TIME
PE0016841,LN000096,21,2023-11-14,860.12,ON_TIME
PE0010611,LN000433,3,2021-10-10,138.99,MISSED
PE0010854,LN002005,5,2021-08-05,575.25,ON_TIME
PE0017392,LN001526,25,2024-09-26,723.97,ON_TIME
PE0022490,LN001930,25,2025-07-02,1396.8,ON_TIME
PE0015806,LN001198,10,2024-04-25,1062.72,ON_TIME
PE0008612,LN002606,29,2023-08-21,210.46,ON_TIME
PE0012442,LN001983,19,2024-05-08,741.83,ON_TIME
PE0013364,LN002846,41,2025-10-01,594.89,ON_TIME
PE0011808,LN002244,15,2022-09-28,76.91,ON_TIME
PE0004775,LN003041,22,2024-10-16,734.11,ON_TIME
PE0003097,LN000906,25,2024-10-01,353.09,ON_TIME
PE0018468,LN002259,20,2022-12-19,1431.54,ON_TIME
PE0017930,LN003409,15,2024-12-13,622.67,ON_TIME
PE0018255,LN000032,52,2027-06-17,990.96,ON_TIME
PE0000448,LN000686,50,2026-06-16,454.86,ON_TIME
PE0009454,LN001558,21,2024-05-21,407.59,ON_TIME
PE0017235,LN003267,2,2022-09-08,355.13,ON_TIME
PE0012750,LN000001,3,2023-03-01,432.22,ON_TIME
PE0022390,LN002090,35,2024-08-24,647.57,ON_TIME
PE0011629,LN001757,58,2026-10-16,872.06,ON_TIME
PE0015818,LN001198,22,2025-04-20,1091.31,ON_TIME
PE0011097,LN000500,20,2023-01-10,922.4,ON_TIME
PE0015470,LN002745,23,2023-06-23,1062.75,ON_TIME
PE0022718,LN001395,25,2025-07-22,307.56,ON_TIME
PE0021388,LN002749,6,2021-07-06,733.52,ON_TIME
PE0000636,LN000868,38,2025-03-31,106.18,ON_TIME
PE0020130,LN002517,4,2021-05-03,710.95,ON_TIME
PE0018584,LN000883,39,2024-03-26,86.29,ON_TIME
PE0018841,LN002320,58,2028-01-26,781.83,ON_TIME
PE0021932,LN002208,44,2025-11-28,427.62,ON_TIME
PE0012724,LN000632,13,2023-08-22,999.95,ON_TIME
PE0017068,LN002625,53,2027-02-18,563.05,ON_TIME
PE0022213,LN002781,2,2024-01-20,730.17,ON_TIME
PE0011104,LN000500,27,2023-08-08,958.71,ON_TIME
PE0019310,LN001483,3,2021-06-27,134.35,ON_TIME
PE0022829,LN001530,8,2024-08-23,588.29,ON_TIME
PE0004141,LN000997,35,2024-12-26,278.88,ON_TIME
PE0010993,LN000257,29,2023-08-09,480.9,ON_TIME
PE0002924,LN002599,51,2027-06-12,185.49,ON_TIME
PE0004646,LN002612,28,2025-11-03,422.05,ON_TIME
PE0016928,LN002930,19,2025-04-25,205.07,ON_TIME
PE0005188,LN001882,7,2023-01-30,310.15,LATE
PE0015612,LN001110,22,2023-11-11,1202.02,ON_TIME
PE0017593,LN001111,13,2023-10-20,175.75,ON_TIME
PE0016376,LN001503,35,2024-04-21,578.6,ON_TIME
PE0002085,LN002270,17,2022-10-21,997.36,ON_TIME
PE0019640,LN000528,9,2022-05-04,778.05,ON_TIME
PE0002572,LN003119,41,2027-03-08,508.31,LATE
PE0013111,LN002959,54,2026-05-10,560.29,ON_TIME
PE0014876,LN001024,4,2022-04-25,546.86,ON_TIME
PE0013481,LN001289,4,2022-04-30,321.73,ON_TIME
PE0022729,LN001395,36,2026-06-17,293.32,ON_TIME
PE0000964,LN003301,21,2023-02-20,386.54,ON_TIME
PE0018967,LN003065,39,2026-03-16,479.37,ON_TIME
PE0009422,LN002239,13,2022-04-28,853.7,ON_TIME
PE0007794,LN002670,48,2026-10-08,381.65,ON_TIME
