student_id,teacher_id
STU001,
STU002,TCH001
STU003,
STU004,TCH001
STU005,TCH002
STU006,TCH002
STU007,TCH002
STU008,TCH002
STU009,TCH001
STU010,TCH005
STU011,TCH004
STU012,
STU013,TCH006
STU014,TCH007
STU015,TCH006
STU016,TCH005
STU017,TCH004
STU018,TCH002
STU019,TCH007
STU020,
STU021,TCH007
STU022,TCH007
STU023,TCH003
STU024,TCH002
STU025,TCH007
STU026,TCH004
STU027,TCH006
STU028,TCH004
STU029,TCH003
STU030,TCH007
STU031,TCH001
STU032,TCH002
STU033,TCH003
STU034,TCH002
STU035,
STU036,TCH001
STU037,TCH005
STU038,TCH004
STU039,TCH002
STU040,TCH005
STU041,TCH003
STU042,TCH002
STU043,TCH002
STU044,
STU045,TCH003
STU046,TCH006
STU047,TCH006
STU048,TCH007
STU049,TCH002
STU050,TCH007
STU051,TCH003
STU052,TCH001
STU053,TCH006
STU054,TCH002
STU055,TCH004
STU056,
STU057,TCH007
STU058,TCH002
STU059,
STU060,TCH005
STU061,TCH007
STU062,TCH004
STU063,
STU064,TCH004
STU065,TCH005
STU066,TCH007
STU067,TCH001
STU068,TCH001
STU069,TCH002
STU070,
STU071,TCH007
STU072,TCH006
STU073,TCH001
STU074,TCH007
STU075,TCH004
STU076,TCH004
STU077,
STU078,TCH006
STU079,TCH007
STU080,TCH005
STU081,
STU082,TCH001
STU083,TCH007
STU084,TCH002
STU085,
STU086,TCH006
STU087,TCH001
STU088,TCH007
STU089,TCH006
STU090,TCH003
STU091,TCH005
STU092,TCH007
STU093,TCH004
STU094,
STU095,TCH003
STU096,TCH001
STU097,TCH004
STU098,
STU099,TCH001
STU100,TCH005
STU101,TCH001
STU102,TCH001
STU103,TCH004
STU104,TCH003
STU105,TCH001
STU106,TCH005
STU107,TCH004
STU108,
STU109,TCH002
STU110,TCH006
STU111,TCH007
STU112,TCH002
STU113,TCH007
STU114,TCH007
STU115,TCH003
STU116,TCH007
STU117,TCH007
STU118,TCH005
STU119,TCH005
STU120,TCH002
STU121,TCH001
STU122,TCH005
STU123,TCH004
STU124,TCH003
STU125,TCH007
STU126,TCH003
STU127,TCH006
STU128,TCH005
STU129,TCH002
STU130,TCH003
STU131,TCH001
STU132,TCH004
STU133,TCH004
STU134,TCH003
STU135,TCH007
STU136,TCH002
STU137,TCH002
STU138,TCH004
STU139,TCH007
STU140,TCH002
STU141,TCH004
STU142,TCH006
STU143,TCH006
STU144,TCH005
STU145,TCH002
STU146,TCH005
STU147,TCH004
STU148,
STU149,TCH002
STU150,TCH005
STU151,TCH005
STU152,TCH005
STU153,TCH003
STU154,TCH007
STU155,
STU156,TCH007
STU157,TCH006
STU158,TCH005
STU159,TCH005
STU160,TCH002
STU161,TCH006
STU162,TCH004
STU163,TCH003
STU164,TCH001
STU165,TCH007
STU166,TCH007
STU167,TCH005
STU168,TCH007
STU169,TCH002
STU170,TCH004
STU171,
STU172,TCH004
STU173,TCH003
STU174,TCH006
STU175,TCH002
STU176,TCH002
STU177,TCH004
STU178,TCH003
STU179,TCH004
STU180,TCH006
