response_id,student_id,question_id,assessment_id,is_correct,response_date
RESP00001,STU001,Q001-01,ASS001,1,2024-09-15
RESP00002,STU001,Q001-02,ASS001,1,2024-09-15
RESP00003,STU001,Q001-03,ASS001,1,2024-09-15
RESP00004,STU001,Q001-04,ASS001,1,2024-09-15
RESP00005,STU001,Q001-05,ASS001,1,2024-09-15
RESP00006,STU001,Q001-06,ASS001,0,2024-09-15
RESP00007,STU001,Q001-07,ASS001,0,2024-09-15
RESP00008,STU001,Q001-08,ASS001,1,2024-09-15
RESP00009,STU001,Q001-09,ASS001,1,2024-09-15
RESP00010,STU001,Q001-10,ASS001,1,2024-09-15
RESP00011,STU001,Q001-11,ASS001,1,2024-09-15
RESP00012,STU001,Q001-12,ASS001,1,2024-09-15
RESP00013,STU001,Q001-13,ASS001,0,2024-09-15
RESP00014,STU001,Q001-14,ASS001,0,2024-09-15
RESP00015,STU001,Q001-15,ASS001,1,2024-09-15
RESP00016,STU002,Q001-01,ASS001,0,2024-09-15
RESP00017,STU002,Q001-02,ASS001,1,2024-09-15
RESP00018,STU002,Q001-03,ASS001,1,2024-09-15
RESP00019,STU002,Q001-04,ASS001,0,2024-09-15
RESP00020,STU002,Q001-05,ASS001,0,2024-09-15
RESP00021,STU002,Q001-06,ASS001,1,2024-09-15
RESP00022,STU002,Q001-07,ASS001,1,2024-09-15
RESP00023,STU002,Q001-08,ASS001,1,2024-09-15
RESP00024,STU002,Q001-09,ASS001,0,2024-09-15
RESP00025,STU002,Q001-10,ASS001,1,2024-09-15
RESP00026,STU002,Q001-11,ASS001,1,2024-09-15
RESP00027,STU002,Q001-12,ASS001,1,2024-09-15
RESP00028,STU002,Q001-13,ASS001,1,2024-09-15
RESP00029,STU002,Q001-14,ASS001,0,2024-09-15
RESP00030,STU002,Q001-15,ASS001,1,2024-09-15
RESP00031,STU003,Q001-01,ASS001,0,2024-09-15
RESP00032,STU003,Q001-02,ASS001,0,2024-09-15
RESP00033,STU003,Q001-03,ASS001,0,2024-09-15
RESP00034,STU003,Q001-04,ASS001,1,2024-09-15
RESP00035,STU003,Q001-05,ASS001,0,2024-09-15
RESP00036,STU003,Q001-06,ASS001,1,2024-09-15
RESP00037,STU003,Q001-07,ASS001,0,2024-09-15
RESP00038,STU003,Q001-08,ASS001,1,2024-09-15
